Wallet statement;;;;;;;;;;
Address count with BTC balance:;1;;;;;;;;;
Starting balance 2023-01-15;0;BTC;0;USD;;;;;;
Ending balance 2024-04-17;0;BTC;0;USD;;;;;;
Total received;2,68903734;BTC;;;;;;;;
Total sent;2,68903734;BTC;;;;;;;;
Total received from external wallets;2,68903734;BTC;;;;;;;;
Total sent to external wallets;9,83291646;BTC;;;;;;;;
;;;;;;;;;;
Types legend;;;;;;;;;;
External receiving;An event that replenishes an address from your list, where the sending address is not an address from your list.;;;;;;;;;
External spending;An event that reflects a spend from an address on your list to an external address that is not an address on your list.;;;;;;;;;
Inner fee;Commission that was spent by the address from your list.;;;;;;;;;
Inner;Event where the recipient address and the sender address are addresses from your list;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Start period;15/01/2023;;;;;;;;;
End period;17/04/2024;;;;;;;;;
Transactions involving the addresses:;;;;;;;;;;
Tx number;Effect;Ticker;Amount fiat (USD);Asset rate (USD);Type;Date;Public key;Wallet address;Third-party address;Transaction hash
29;-0,2406152;BTC;-9643,14;40077;Inner;25/01/2024 11:08;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;cffb0b9233cc69df7678888b72b6309d8b6aff47cbb33fd17dc7dd53015cb7d8
30;0,08239474;BTC;3302,13;40077;External spending;25/01/2024 11:08;;;16B3wDUnayf9M6FgNiiqdBzwxDirbqAqeG;cffb0b9233cc69df7678888b72b6309d8b6aff47cbb33fd17dc7dd53015cb7d8
31;0,15816907;BTC;6338,94;40077;External spending;25/01/2024 11:08;;;bc1qjq5f50s3efl9wh6ju9hn0ppz8hgr92k30jsh62;cffb0b9233cc69df7678888b72b6309d8b6aff47cbb33fd17dc7dd53015cb7d8
32;0,00005139;BTC;2,06;40077;Inner fee;25/01/2024 11:08;;;the-void;cffb0b9233cc69df7678888b72b6309d8b6aff47cbb33fd17dc7dd53015cb7d8
33;0,01309503;BTC;522,23;39880;External receiving;24/01/2024 18:19;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;7df19950147c841e3404deebb82cb38a65145a5082a3329c7c11afb19d486e91
34;0,08030531;BTC;3202,58;39880;External receiving;24/01/2024 15:14;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;42422fbb588d4ad4a974a3f1836e2cfe982bfc40bf152076039e68355b8342f4
35;0,07846013;BTC;3128,99;39880;External receiving;24/01/2024 10:54;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;4ad26c20163bb165be0d91e539ae2700be784e92420a5a953cc3f91f5cb586ab
36;0,2124215;BTC;8471,37;39880;External receiving;24/01/2024 09:46;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;1768db5281803c29d0e882dc76915746cb9143cae89f0e68118af8aedf11c479
37;0,2406152;BTC;9595,73;39880;External receiving;24/01/2024 09:38;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;29bf701accaa09b6cad546ce653999e211a754be669f329dd62653e1498784a3
38;0,087652;BTC;3463,92;39518,99;External receiving;23/01/2024 17:46;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;e114350b357d805af21490da59f561c05e993b02937df82a6a63ce1e4e3ecb15
39;0,01309391;BTC;517,46;39518,99;External receiving;23/01/2024 16:35;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;a9331df2b78f4c4b2ddef48b2c5caf9baa03f319a92bc3d0401bd1a3bfacef82
40;0,02401235;BTC;948,94;39518,99;External receiving;23/01/2024 15:47;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;fe4cc0856418d34c29664bc03655d0430f37d107a18049d36b2323bbf1821f69
41;0,02674657;BTC;1057;39518,99;External receiving;23/01/2024 15:32;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;f1c73493f2158bb10290030afbb34c75813af798f77941b3dbeaa709bdf509e4
42;0,04112659;BTC;1625,28;39518,99;External receiving;23/01/2024 15:03;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;5a89fc01aa5a88b931283c9b599c5b2fd8ca3c82f5b717af3ad25264c6faddaf
43;0,01328958;BTC;525,19;39518,99;External receiving;23/01/2024 15:03;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;ef87e6debb8690670879ae474427fffc848a29a45f147082384ad7cf9769ae2b
44;0,0538657;BTC;2128,72;39518,99;External receiving;23/01/2024 13:02;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;e01e860eedcff95ec0a3db5e243f7a907ce173f05d362cc75902b6b7651517cc
45;0,0812085;BTC;3209,28;39518,99;External receiving;23/01/2024 12:25;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;1e12c66205910a23a5bd12ccbf8361584bafe40f1ecdf0a027add187044033f7
46;0,09429712;BTC;3726,53;39518,99;External receiving;23/01/2024 11:36;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;09afe218d08f38d949b1568e4945f0e0aa895de212dec1eda7fe5aefe6e9b29c
47;0,05773364;BTC;2281,58;39518,99;External receiving;23/01/2024 11:10;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;3829fb30055ba2ab95ca5b9bf44d2c62d97df48cd856dba5c7f55f47e027c5b3
48;0,01254385;BTC;495,72;39518,99;External receiving;23/01/2024 10:52;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;dd63f211c51984fa660a3c63f13bdd86e33d5b98082b7a4583ef0165708c6108
49;0,02542345;BTC;1058,1;41619;External receiving;22/01/2024 17:54;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;117e72577dad27e9fa7fe5628b0557bbf80b6b73360aa58bacab2454a605fce1
50;0,00747341;BTC;311,04;41619;External receiving;22/01/2024 17:25;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;42a39f5186510af64f7cbfd84a9db95b537be36c335f596d476e5ef82dcae394
51;0,01285571;BTC;529,6;41196;External receiving;19/01/2024 16:44;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;6e102e4f05548a0dd6822322f14ea437b57c61bfd332bde1ebb6eaa7b2f4f3f1
52;-0,090113;BTC;-3712,3;41196;Inner;19/01/2024 13:23;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;e8a16a3da6726094ffda2d45a741192107e2ad87b3a696c192da6fb0c122933d
53;-0,0250141;BTC;-1030,48;41196;Inner;19/01/2024 13:23;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;e8a16a3da6726094ffda2d45a741192107e2ad87b3a696c192da6fb0c122933d
54;-0,01514588;BTC;-623,95;41196;Inner;19/01/2024 13:23;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;e8a16a3da6726094ffda2d45a741192107e2ad87b3a696c192da6fb0c122933d
55;-0,0225591;BTC;-929,34;41196;Inner;19/01/2024 13:23;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;e8a16a3da6726094ffda2d45a741192107e2ad87b3a696c192da6fb0c122933d
56;-0,01227669;BTC;-505,75;41196;Inner;19/01/2024 13:23;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;e8a16a3da6726094ffda2d45a741192107e2ad87b3a696c192da6fb0c122933d
57;-0,0693186;BTC;-2855,65;41196;Inner;19/01/2024 13:23;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;e8a16a3da6726094ffda2d45a741192107e2ad87b3a696c192da6fb0c122933d
58;-0,01104471;BTC;-455;41196;Inner;19/01/2024 13:23;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;e8a16a3da6726094ffda2d45a741192107e2ad87b3a696c192da6fb0c122933d
59;-0,0245752;BTC;-1012,4;41196;Inner;19/01/2024 13:23;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;e8a16a3da6726094ffda2d45a741192107e2ad87b3a696c192da6fb0c122933d
60;-0,0391288;BTC;-1611,95;41196;Inner;19/01/2024 13:23;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;e8a16a3da6726094ffda2d45a741192107e2ad87b3a696c192da6fb0c122933d
61;-0,02267568;BTC;-934,15;41196;Inner;19/01/2024 13:23;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;e8a16a3da6726094ffda2d45a741192107e2ad87b3a696c192da6fb0c122933d
62;-0,1046416;BTC;-4310,82;41196;Inner;19/01/2024 13:23;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;e8a16a3da6726094ffda2d45a741192107e2ad87b3a696c192da6fb0c122933d
